MAG,ANNEE,MOIS,CA
4435,2021,2,19273.600
8613,2021,2,57700.800
4252,2021,2,147643.480
5605,2021,2,204830.940
6456,2021,2,66902.650
7995,2021,2,313312.110
5949,2021,2,193316.110
6799,2021,2,173739.190
6041,2021,2,106052.170
4162,2021,2,88064.640
4197,2021,2,260460.640
5345,2021,2,160409.930
8615,2021,2,276780.880
8693,2021,2,315569.710
4436,2021,2,119907.220
4843,2021,2,211791.080
6614,2021,2,320894.360
4240,2021,2,219252.890
6355,2021,2,62645.610
5742,2021,2,169565.870
4816,2021,2,166610.930
4425,2021,2,107832.400
5871,2021,2,475586.910
5870,2021,2,160823.680
8750,2021,2,156278.120
5083,2021,2,171554.440
8723,2021,2,73217.120
5428,2021,2,272462.530
4179,2021,2,198576.500
6369,2021,2,271646.550
4869,2021,2,294908.050
7780,2021,2,204039.960
4387,2021,2,153722.490
8665,2021,2,192518.800
6291,2021,2,141519.070
6745,2021,2,135854.550
4120,2021,2,152613.120
5080,2021,2,121343.670
7765,2021,2,187599.610
7864,2021,2,58870.230
8702,2021,2,123489.800
5662,2021,2,127910.370
7854,2021,2,299000.320
6249,2021,2,171596.550
7335,2021,2,112747.880
4113,2021,2,102267.470
5835,2021,2,88397.560
7472,2021,2,63399.260
6672,2021,2,61798.460
6196,2021,2,69877.690
5748,2021,2,168637.340
5529,2021,2,176008.710
5142,2021,2,83691.070
4334,2021,2,110791.900
7152,2021,2,80919.360
5618,2021,2,129811.070
7073,2021,2,171976.430
8054,2021,2,535038.060
4085,2021,2,148340.900
4836,2021,2,127589.280
7110,2021,2,81607.340
4275,2021,2,155624.450
4410,2021,2,165005.680
7960,2021,2,132292.070
6313,2021,2,43435.340
7578,2021,2,167437.050
6637,2021,2,53672.170
4828,2021,2,94441.930
4430,2021,2,10810.140
4881,2021,3,171728.520
5140,2021,3,233358.050
4290,2021,3,213776.330
4212,2021,3,200648.180
4279,2021,3,250979.930
4254,2021,3,209385.610
5522,2021,3,244038.350
4145,2021,3,139341.940
5132,2021,3,194690.490
7455,2021,3,345639.590
4221,2021,3,153924.740
7766,2021,3,151128.460
6199,2021,3,467568.460
4180,2021,3,63835.020
6041,2021,3,122868.130
8147,2021,3,239599.050
4453,2021,3,210983.630
4081,2021,3,284566.210
4146,2021,3,268201.280
6462,2021,3,79925.830
7347,2021,3,167708.300
5484,2021,3,215707.660
7666,2021,3,110490.940
4115,2021,3,152625.650
4370,2021,3,186304.050
4325,2021,3,211758.300
7741,2021,3,110576.860
4832,2021,3,117178.340
7691,2021,3,116026.680
7729,2021,3,535029.840
4436,2021,3,76105.770
5358,2021,3,206861.230
5968,2021,3,236304.910
5229,2021,3,556660.610
7189,2021,3,426264.210
7917,2021,3,164728.310
7092,2021,3,174510.690
8247,2021,3,165679.430
4419,2021,3,215810.740
5943,2021,3,108657.230
4270,2021,3,141520.580
7806,2021,3,302901.620
7905,2021,3,308330.050
5194,2021,3,110245.030
8792,2021,3,73181.200
7971,2021,3,137536.340
4207,2021,3,102586.770
6291,2021,3,165943.790
5244,2021,3,158207.660
7959,2021,3,262054.050
4291,2021,3,160354.350
4144,2021,3,105483.950
5656,2021,3,140214.380
4316,2021,3,112034.770
6958,2021,3,230175.330
7476,2021,3,85058.460
8738,2021,3,72955.860
8651,2021,3,94880.930
6269,2021,3,122462.180
5462,2021,3,382923.230
5306,2021,3,211254.170
8401,2021,3,256150.980
8616,2021,3,197250.700
5946,2021,3,96901.950
5002,2021,3,83077.750
6388,2021,3,124523.880
7579,2021,3,159700.810
7185,2021,3,163067.350
4869,2021,3,185480.690
8597,2021,3,166984.590
6579,2021,3,94584.430
4840,2021,3,213604.920
7976,2021,3,208438.580
7529,2021,3,40221.530
4197,2021,3,333691.570
5047,2021,3,240835.060
6086,2021,3,94184.520
4262,2021,3,352226.170
7786,2021,3,261565.040
4117,2021,3,104954.740
4816,2021,3,188354.520
5507,2021,3,147245.480
4192,2021,3,154290.820
4412,2021,3,119557.990
6327,2021,3,170864.980
8605,2021,3,161721.890
4339,2021,3,165033.180
5742,2021,3,206017.380
4784,2021,3,60322.650
4950,2021,3,168511.920
6323,2021,3,283056.840
6714,2021,3,106529.320
4843,2021,3,230177.070
6223,2021,3,228157.050
6443,2021,3,129847.210
5862,2021,3,59735.460
4307,2021,3,61262.590
4293,2021,3,89600.030
4187,2021,3,81307.020
6092,2021,3,52614.500
6122,2021,3,183268.960
6548,2021,3,16393.790
2124,2021,3,7331.770
5011,2021,4,374664.570
8194,2021,4,154393.640
5885,2021,4,98187.460
5299,2021,4,224733.370
4279,2021,4,233942.520
5067,2021,4,556448.190
5132,2021,4,180555.700
4177,2021,4,691186.070
4127,2021,4,191924.930
5516,2021,4,214466.960
6287,2021,4,403053.710
7937,2021,4,155507.280
4262,2021,4,333866.380
5906,2021,4,201615.940
7677,2021,4,132689.870
4370,2021,4,183160.370
4439,2021,4,226997.520
6308,2021,4,148665.660
8047,2021,4,259548.340
5287,2021,4,146181.160
4366,2021,4,115246.980
7838,2021,4,283076.150
5858,2021,4,328744.710
4191,2021,4,359741.620
5542,2021,4,193394.580
8383,2021,4,686332.790
5248,2021,4,201401.280
4211,2021,4,161129.540
5529,2021,4,194088.000
8070,2021,4,127411.310
7143,2021,4,76349.330
6192,2021,4,126752.350
6897,2021,4,167829.290
5396,2021,4,303728.580
7718,2021,4,287462.280
7917,2021,4,65095.810
4070,2021,4,395931.450
8055,2021,4,576324.060
5028,2021,4,656149.640
7825,2021,4,108428.270
5977,2021,4,228940.780
8550,2021,4,88158.920
8190,2021,4,376608.610
6460,2021,4,86335.650
5313,2021,4,143523.330
6854,2021,4,152431.470
7646,2021,4,107620.910
7727,2021,4,344451.680
5143,2021,4,534961.100
6396,2021,4,115039.620
7142,2021,4,81376.140
4368,2021,4,150824.600
8706,2021,4,103455.360
4864,2021,4,40780.490
6836,2021,4,141140.580
7969,2021,4,224317.300
5134,2021,4,245830.210
6166,2021,4,196864.920
4284,2021,4,157431.370
4331,2021,4,172633.290
6670,2021,4,83108.140
4742,2021,4,109858.220
5890,2021,4,33234.140
4116,2021,4,228616.650
4773,2021,4,62723.740
7843,2021,5,113847.970
6126,2021,5,108009.930
4899,2021,5,140035.430
8642,2021,5,76814.970
5194,2021,5,96617.830
6250,2021,5,193885.540
8047,2021,5,306768.780
6787,2021,5,150995.390
8106,2021,5,261519.420
4258,2021,5,219699.960
8362,2021,5,171519.160
5253,2021,5,528516.910
7140,2021,5,90456.250
2124,2021,5,118728.580
6327,2021,5,178936.090
5164,2021,5,433597.220
4783,2021,5,122311.180
7986,2021,5,103644.760
6373,2021,5,529237.720
6321,2021,5,278988.860
5511,2021,5,269567.870
8156,2021,5,250899.800
5083,2021,5,196174.070
8019,2021,5,428547.540
6200,2021,5,65815.520
7969,2021,5,191722.210
8792,2021,5,97357.120
4093,2021,5,412525.760
6731,2021,5,226589.200
4280,2021,5,233062.570
5618,2021,5,127339.860
4409,2021,5,189953.480
5312,2021,5,111237.670
8149,2021,5,69307.170
4318,2021,5,212455.070
6325,2021,5,451757.450
4736,2021,5,322037.420
4391,2021,5,181509.410
4152,2021,5,364539.460
4774,2021,5,168932.640
4316,2021,5,115384.000
4818,2021,5,232425.490
5179,2021,1,148741.820
7099,2021,2,264000.570
5044,2021,2,307205.330
7963,2021,2,633098.400
7860,2021,2,90399.920
4814,2021,2,103412.650
6007,2021,2,357451.790
6214,2021,2,147939.740
5309,2021,2,130424.050
5906,2021,2,174946.820
6253,2021,2,108393.580
5612,2021,2,207329.370
7945,2021,2,9934.960
5370,2021,2,549187.060
6437,2021,2,78972.390
6414,2021,2,125871.760
7679,2021,2,79002.970
4254,2021,2,182934.880
6428,2021,2,104045.200
5134,2021,2,237662.160
4083,2021,2,102841.730
6334,2021,2,260398.820
7444,2021,2,190201.500
4339,2021,2,144450.220
4257,2021,2,143814.710
4443,2021,2,77140.720
7971,2021,2,122594.360
4784,2021,2,37628.630
6333,2021,3,281224.060
5295,2021,3,63555.080
6247,2021,3,321405.910
7750,2021,3,233798.270
6287,2021,3,404745.990
4389,2021,3,295932.310
5734,2021,3,217096.740
5550,2021,3,231552.530
5067,2021,3,604048.490
4829,2021,3,238307.060
5893,2021,3,299164.480
7085,2021,3,151647.890
5652,2021,3,254766.650
4216,2021,3,243949.200
6706,2021,3,168182.570
5574,2021,3,138712.500
4179,2021,3,231165.700
6437,2021,3,101130.750
4969,2021,3,111954.780
4323,2021,3,430739.470
6461,2021,3,107415.520
8644,2021,3,184785.790
8008,2021,3,132758.430
4360,2021,3,174214.770
4411,2021,3,212804.060
6799,2021,3,181080.520
8244,2021,3,408422.920
6310,2021,3,135511.050
4821,2021,3,16591.410
6207,2021,3,183076.810
6396,2021,3,122762.360
5318,2021,3,139388.160
4328,2021,3,242302.240
6536,2021,3,26806.390
4422,2021,3,256801.660
4866,2021,3,246806.650
4127,2021,3,192041.270
4223,2021,3,232269.410
5141,2021,3,120279.790
6013,2021,3,118194.030
7650,2021,3,240350.410
6034,2021,3,91461.630
4394,2021,3,148734.360
5227,2021,3,114417.600
6778,2021,3,67577.570
4105,2021,3,205056.150
6321,2021,3,253274.350
4213,2021,3,57503.370
5388,2021,4,248366.920
8567,2021,4,107940.180
6739,2021,4,120581.450
4820,2021,4,289106.670
8038,2021,4,75348.820
5481,2021,4,378518.370
7732,2021,4,131857.270
5959,2021,4,344213.860
5743,2021,4,195825.560
4437,2021,4,185777.530
7005,2021,4,391902.150
7840,2021,4,242989.590
8224,2021,4,319014.850
4094,2021,4,373580.390
6324,2021,4,187470.030
4093,2021,4,366708.090
4360,2021,4,141833.010
5498,2021,4,693511.970
5680,2021,4,242941.490
7173,2021,4,275817.420
4975,2021,4,171582.870
8615,2021,4,282307.310
7704,2021,4,136156.890
8417,2021,4,363168.520
4258,2021,4,194527.120
4438,2021,4,174717.310
8670,2021,4,171595.100
6477,2021,4,135695.690
5517,2021,4,180170.090
5164,2021,4,419101.520
8034,2021,4,183672.880
4394,2021,4,159985.680
7563,2021,4,104039.630
5123,2021,4,163418.630
5511,2021,4,257680.750
6931,2021,4,247659.200
8044,2021,4,277518.400
6970,2021,4,612566.320
5450,2021,4,143408.650
5865,2021,4,244909.470
5734,2021,4,200739.910
8502,2021,4,167242.830
4762,2021,4,161063.630
5296,2021,4,164511.580
7987,2021,4,148653.030
6241,2021,4,120123.550
4849,2021,4,130759.040
4175,2021,4,99193.410
7729,2021,4,520610.650
5111,2021,4,207261.860
5839,2021,4,74113.660
7679,2021,4,79613.560
6393,2021,4,215482.470
6223,2021,4,224318.390
5457,2021,4,213880.360
5104,2021,4,152032.000
5365,2021,4,237181.050
4351,2021,4,158058.580
4365,2021,4,328776.330
4163,2021,4,50587.190
6787,2021,4,160111.900
7074,2021,4,112966.520
4159,2021,4,57952.280
8164,2021,4,73967.460
8247,2021,4,153139.400
6474,2021,4,169785.000
4069,2021,4,112867.670
8792,2021,4,75914.790
7539,2021,4,106183.470
6086,2021,4,92752.220
6160,2021,4,80639.500
4998,2021,4,106152.920
5385,2021,4,67100.820
5315,2021,5,332767.920
4274,2021,5,310731.360
7341,2021,5,199254.320
8578,2021,5,62508.860
5643,2021,5,126099.980
5879,2021,5,204169.070
5462,2021,5,419425.720
7995,2021,5,129878.790
4094,2021,5,392166.490
4170,2021,5,258535.410
6668,2021,5,71550.490
6706,2021,5,188525.720
4193,2021,5,140013.780
7676,2021,5,163842.150
5844,2021,5,263470.110
6199,2021,5,447438.340
5078,2021,5,232221.070
8232,2021,5,233455.580
6171,2021,5,102896.060
4341,2021,5,292374.770
7566,2021,5,149482.280
4410,2021,5,210736.500
7731,2021,5,135218.620
6393,2021,5,239350.170
6013,2021,5,118645.160
6991,2021,5,141908.420
